n,k,p,Analítico,Estocástico
3,1,0.0,0.0,0.0
3,1,0.0,0.0,0.0
3,3,0.0,0.0,0.0
3,1,0.05,0.1426250000000001,0.14256
3,1,0.05,0.1426250000000001,0.14415
3,3,0.05,0.00012500000000000003,9e-05
3,1,0.1,0.2709999999999999,0.27231
3,1,0.1,0.2709999999999999,0.27075
3,3,0.1,0.0010000000000000002,0.00084
3,1,0.15000000000000002,0.3858750000000001,0.3864
3,1,0.15000000000000002,0.3858750000000001,0.38708
3,3,0.15000000000000002,0.0033750000000000017,0.00327
3,1,0.2,0.4879999999999999,0.48692
3,1,0.2,0.4879999999999999,0.48883
3,3,0.2,0.008000000000000002,0.00811
3,1,0.25,0.578125,0.57811
3,1,0.25,0.578125,0.57728
3,3,0.25,0.015625,0.01569
3,1,0.30000000000000004,0.657,0.65697
3,1,0.30000000000000004,0.657,0.6571
3,3,0.30000000000000004,0.027000000000000014,0.0269
3,1,0.35000000000000003,0.7253750000000001,0.7261
3,1,0.35000000000000003,0.7253750000000001,0.72333
3,3,0.35000000000000003,0.04287500000000001,0.04273
3,1,0.4,0.784,0.78495
3,1,0.4,0.784,0.78277
3,3,0.4,0.06400000000000002,0.0643
3,1,0.45,0.833625,0.83468
3,1,0.45,0.833625,0.83401
3,3,0.45,0.09112500000000001,0.09089
3,1,0.5,0.875,0.87529
3,1,0.5,0.875,0.87487
3,3,0.5,0.125,0.1229
3,1,0.55,0.908875,0.90863
3,1,0.55,0.908875,0.91064
3,3,0.55,0.16637500000000005,0.16653
3,1,0.6000000000000001,0.936,0.9349
3,1,0.6000000000000001,0.936,0.93714
3,3,0.6000000000000001,0.2160000000000001,0.21799
3,1,0.65,0.957125,0.95613
3,1,0.65,0.957125,0.95715
3,3,0.65,0.274625,0.27617
3,1,0.7000000000000001,0.973,0.97314
3,1,0.7000000000000001,0.973,0.97351
3,3,0.7000000000000001,0.3430000000000001,0.34383
3,1,0.75,0.984375,0.98408
3,1,0.75,0.984375,0.98454
3,3,0.75,0.421875,0.42189
3,1,0.8,0.992,0.99192
3,1,0.8,0.992,0.99191
3,3,0.8,0.5120000000000001,0.51063
3,1,0.8500000000000001,0.996625,0.99653
3,1,0.8500000000000001,0.996625,0.99687
3,3,0.8500000000000001,0.6141250000000001,0.61143
3,1,0.9,0.999,0.99881
3,1,0.9,0.999,0.9991
3,3,0.9,0.7290000000000001,0.72917
3,1,0.9500000000000001,0.999875,0.99987
3,1,0.9500000000000001,0.999875,0.99983
3,3,0.9500000000000001,0.8573750000000002,0.85962
3,1,1.0,1.0,1.0
3,1,1.0,1.0,1.0
3,3,1.0,1.0,1.0
5,1,0.0,0.0,0.0
5,2,0.0,0.0,0.0
5,5,0.0,0.0,0.0
5,1,0.05,0.22621906250000023,0.22722
5,2,0.05,0.0225925,0.02263
5,5,0.05,3.125000000000001e-07,0.0
5,1,0.1,0.40950999999999993,0.40973
5,2,0.1,0.08146000000000002,0.08261
5,5,0.1,1.0000000000000003e-05,0.0
5,1,0.15000000000000002,0.5562946875000001,0.55406
5,2,0.15000000000000002,0.16479000000000005,0.16606
5,5,0.15000000000000002,7.593750000000005e-05,6e-05
5,1,0.2,0.6723199999999999,0.67457
5,2,0.2,0.2627200000000001,0.26075
